report_id,timestamp,site,site_type,area,latitude,longitude,shift,worker_id,role,hazard_type,severity,ppe_compliant,near_miss,injury,resolved,time_to_close_hours,risk_score,equipment_id,temperature_c,visibility_m
RPT10000,2025-08-03 19:07:51.452014,Surface Operations,surface,Conveyor,50.045461,-114.311471,Day,WKR4334,Operator,Equipment Interference,2,True,0,0,True,9.68,51,EQ952,17.3,56.0
RPT10001,2025-08-12 02:59:51.452014,Surface Operations,surface,Shaft 1,50.053889,-114.288322,Day,WKR5856,Processing Technician,Ground Instability,3,True,0,0,True,25.51,63,,20.0,20.8
RPT10002,2025-06-25 01:01:51.452014,Mill Complex,processing,Shaft 2,50.212485,-114.186733,Night,WKR7246,Processing Technician,Visibility,5,True,0,0,True,737.5,83,,19.2,41.8
RPT10003,2025-06-13 01:52:51.452014,Surface Operations,surface,Mill Floor,50.059058,-114.296907,Day,WKR2798,Processing Technician,Equipment Interference,3,True,0,0,False,,54,EQ329,22.0,44.9
RPT10004,2025-08-21 20:24:51.452014,North Ridge Mine,underground,Mill Floor,50.109703,-114.028047,Day,WKR6262,Engineer,Other,1,True,1,0,True,8.03,45,,27.7,23.1
RPT10005,2025-09-01 08:58:51.452014,Mill Complex,processing,Maintenance Bay,50.19536,-114.190908,Day,WKR3037,Processing Technician,Equipment Interference,1,True,0,0,True,2.21,41,EQ228,27.6,72.1
RPT10006,2025-07-15 04:01:51.452014,Surface Operations,surface,Crusher,50.061989,-114.290487,Evening,WKR9089,Operator,Slip/Trip,2,False,0,0,True,7.26,74,,23.0,54.2
RPT10007,2025-07-17 05:22:51.452014,Surface Operations,surface,Shaft 2,50.04222,-114.304112,Day,WKR5111,Operator,Electrical,3,True,0,0,True,23.84,46,EQ305,22.8,54.8
RPT10008,2025-10-05 14:47:51.452014,Mill Complex,processing,Shaft 1,50.205332,-114.204866,Evening,WKR5844,Supervisor,Equipment Interference,3,True,0,0,True,24.17,59,EQ139,23.7,86.3
RPT10009,2025-08-19 15:32:51.452014,Mill Complex,processing,Mill Floor,50.215899,-114.19113,Night,WKR3663,Operator,Visibility,3,True,0,0,False,,86,,20.2,59.9
RPT10010,2025-08-10 01:51:51.452014,Surface Operations,surface,Shaft 2,50.055353,-114.287249,Day,WKR8652,Operator,Electrical,5,True,0,0,False,,100,EQ701,19.9,52.7
RPT10011,2025-10-11 00:02:51.452014,Lakeview Shaft,underground,Surface Pit,49.854183,-115.137011,Night,WKR3789,Logistics,Slip/Trip,2,True,0,0,True,18.95,58,,36.4,30.6
RPT10012,2025-07-31 01:23:51.452014,Lakeview Shaft,underground,Shaft 1,49.857211,-115.128957,Day,WKR8849,Logistics,Ergonomics,4,True,0,0,True,30.01,61,,32.9,11.5
